,name,year,score,consensus,staring,director
70,13 Assassins,2011,95%,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","Koji Yakusho,Takayuki Yamada,Yusuke Iseya,Goro Inagaki",Takashi Miike
71,Full Contact,1992,88%,No consensus yet.,"Yun-Fat Chow,Simon Yam,Ann Bridgewater,Anthony Wong",Ringo Lam
72,Indiana Jones and the Last Crusade,1989,88%,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.","Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott",Steven Spielberg
73,Kung Fu Hustle,2005,91%,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.","Stephen Chow,Wah Yuen,Shengyi Huang,Kwok-Kwan Chan",Stephen Chow
74,A Better Tomorrow,2010,93%,No consensus yet.,"Yun-Fat Chow,Leslie Cheung,Lung Ti,Young Pao I",Hae-sung Song
75,Iron Man,2008,94%,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Gwyneth Paltrow",
76,The Night Comes For Us,2018,91%,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","Joe Taslim,Iko Uwais,Julie Estelle,Sunny Pang",Timo Tjahjanto
77,Logan,2017,93%,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","Hugh Jackman,Patrick Stewart,Boyd Holbrook,Stephen Merchant",James Mangold
78,Goldfinger,1964,99%,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred"") and a wide range of gadgets that would become the series' trademark.","Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton",Guy Hamilton
79,Assault on Precinct 13,1976,98%,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","Austin Stoker,Darwin Joston,Gilbert De la Pena,Laurie Zimmer",John Carpenter
80,Wonder Woman,2017,93%,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright",Patty Jenkins
81,Fist of Fury (Jing wu men),1972,83%,No consensus yet.,"Bruce Lee,Miao Ker Hsiu,James Tien,Robert Baker",
82,Captain America: The Winter Soldier,2014,90%,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","Chris Evans,Samuel L. Jackson,Scarlett Johansson,Anthony Mackie",Joe Russo
83,Oldboy,2005,81%,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.","Choi Min-sik,Gang Hye-jeong,Yoo Ji-tae,Gang Hye-jung",Park Chan-wook
84,The French Connection,1971,98%,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.","Gene Hackman,Fernando Rey,Roy Scheider,Marcel Bozzuffi",William Friedkin
85,Furious 7,2015,82%,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Vin Diesel,Paul Walker,Jason Statham,Dwayne Johnson",James Wan
86,La Femme Nikita (Nikita),1990,89%,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"Tcheky Karyo,Anne Parillaud,Jeanne Moreau,Jean Reno",Luc Besson
87,Supercop,1996,96%,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.","Jackie Chan,Maggie Cheung,Kenneth Tsang Kong,Wah Yuen",Stanley Tong
88,Dirty Harry,1971,89%,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.","Clint Eastwood,Andrew Robinson,Harry Guardino,John Mitchum",Don Siegel
89,Live Die Repeat: Edge of Tomorrow,2014,91%,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","Tom Cruise,Emily Blunt,Bill Paxton,Jonas Armstrong",Doug Liman
90,X2: X-Men United,2003,85%,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","Hugh Jackman,Ian McKellen,Halle Berry,Famke Janssen",Bryan Singer
91,The Fugitive,1993,96%,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.","Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore",Andrew Davis
92,Black Panther,2018,96%,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",Ryan Coogler
93,Inception,2010,87%,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.","Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Marion Cotillard",Christopher Nolan
94,Braveheart,1995,78%,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.","Mel Gibson,Sophie Marceau,Patrick McGoohan,Catherine McCormack",Mel Gibson
95,Minority Report,2002,90%,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow",Steven Spielberg
96,Avengers: Endgame,2019,94%,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.","Robert Downey Jr.,Mark Ruffalo,Scarlett Johansson,Chris Evans",Anthony Russo
97,Dredd,2012,79%,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","Karl Urban,Olivia Thirlby,Wood Harris,Lena Headey",Pete Travis
98,The Bourne Identity,2002,83%,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","Matt Damon,Franka Potente,Chris Cooper,Clive Owen",Doug Liman
99,Ip Man,2010,86%,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","Donnie Yen,Hiroyuki Ikeuchi,Simon Yam,Xiong Dailin",Wilson Yip
100,Face/Off,1997,92%,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola",John Woo
101,To Live and Die in L.A.,1985,91%,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","William L. Petersen,Willem Dafoe,John Pankow,Debra Feuer",William Friedkin
102,The Dark Knight,2008,94%,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Christian Bale,Heath Ledger,Aaron Eckhart,Maggie Gyllenhaal",Christopher Nolan
103,Mission: Impossible Ghost Protocol,2011,93%,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.","Tom Cruise,Jeremy Renner,Simon Pegg,Paula Patton",Brad Bird
104,Fast Five,2011,77%,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.","Vin Diesel,Paul Walker,Jordana Brewster,Dwayne Johnson",Justin Lin
105,Lethal Weapon,1987,80%,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","Mel Gibson,Danny Glover,Gary Busey,Darlene Love",Richard Donner
106,The Rock,1996,66%,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","Sean Connery,Nicolas Cage,Ed Harris,Michael Biehn",Michael Bay
107,RoboCop,1987,90%,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","Peter Weller,Nancy Allen,Ronny Cox,Kurtwood Smith",Paul Verhoeven
108,John Wick: Chapter 2,2017,89%,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","Keanu Reeves,John Leguizamo,Bridget Moynahan,Thomas Sadoski",Chad Stahelski
109,Casino Royale,2006,94%,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","Daniel Craig,Eva Green,Mads Mikkelsen,Judi Dench",Martin Campbell
110,Baby Driver,2017,92%,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","Ansel Elgort,Kevin Spacey,Lily James,Jon Bernthal",Edgar Wright
111,Fist of Legend (Jing wu ying xiong),1994,100%,No consensus yet.,"Jet Li,Paul Chiang,Yasuaki Kurata,Shinobu Nakayama (II)",Gordon Chan
112,The Killer,1989,98%,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Yun-Fat Chow,Sally Yeh,Danny Lee,Kenneth Tsang",John Woo
113,The Raid 2,2014,82%,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.","Iko Uwais,Yahan Ruhian,Arifin Putra,Oka Antara",Gareth Evans
114,Enter the Dragon,1973,95%,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.","Bruce Lee,John Saxon,Jim Kelly,Shih Kien",Robert Clouse
115,Commando,1985,71%,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.","Arnold Schwarzenegger,Alyssa Milano,Rae Dawn Chong,Dan Hedaya",Mark L. Lester
116,First Blood,1982,85%,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.","Sylvester Stallone,Richard Crenna,Brian Dennehy,David Caruso",Ted Kotcheff
117,Mission: Impossible Rogue Nation,2015,94%,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"Tom Cruise,Jeremy Renner,Ving Rhames,Simon Pegg",Christopher McQuarrie
118,The Terminator,1984,100%,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield",James Cameron
119,Gladiator,2000,77%,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed",Ridley Scott
120,Kill Bill: Volume 1,2003,85%,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,"Uma Thurman,Lucy Liu,Vivica A. Fox,David Carradine",Quentin Tarantino
121,Léon: The Professional,1994,74%,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello",Luc Besson
122,Speed,1994,94%,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.","Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton",Jan de Bont
123,The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83%,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,"Jackie Chan,Siu Tin Yuen,Jang Lee Hwang,Kau Lam",Lau Kar-Leung
124,John Wick,2014,86%,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.","Keanu Reeves,Michael Nyqvist,Alfie Allen,Adrianne Palicki",David Leitch
125,"Crouching Tiger, Hidden Dragon",2001,97%,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.","Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang",Ang Lee
126,Predator,1987,81%,"Predator: Part sci-fi, part horror, part action -- all muscle.","Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Keegan-Michael Key",Shane Black
127,The Bourne Ultimatum,2007,92%,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn",Paul Greengrass
128,Total Recall,1990,82%,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,Ronny Cox",Paul Verhoeven
129,Mad Max 2: The Road Warrior,1982,93%,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.","Mel Gibson,Bruce Spence,Vernon Wells,Emil Minty",George Miller
130,Heat,1995,87%,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","Al Pacino,Robert De Niro,Val Kilmer,Jon Voight",Michael Mann
131,The Raid: Redemption,2012,86%,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.","Iko Uwais,Joe Taslim,Doni Alamsyah,Yahan Ruhian",Gareth Evans
132,Mission: Impossible - Fallout,2018,97%,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.","Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",Christopher McQuarrie
133,Raiders of the Lost Ark,1981,95%,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.","Harrison Ford,Karen Allen,Paul Freeman,Wolf Kahler",Steven Spielberg
134,Aliens,1986,97%,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.","Sigourney Weaver,Carrie Henn,Michael Biehn,Paul Reiser",James Cameron
135,Lat sau san taam (Hard-Boiled),1992,94%,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.","Yun-Fat Chow,Tony Leung Chiu Wai,Anthony Wong,Teresa Mo",John Woo
136,The Matrix,1999,88%,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Joe Pantoliano",Lilly Wachowski
137,Terminator 2: Judgment Day,1991,93%,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick",James Cameron
138,Die Hard,1988,94%,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,"Bruce Willis,Alan Rickman,Reginald VelJohnson,Bonnie Bedelia",John McTiernan
139,Mad Max: Fury Road,2015,97%,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Tom Hardy,Charlize Theron,Nicholas Hoult,Rosie Huntington-Whiteley",George Miller
